index,recipe_name,sentence1,sentence2,label
0,Pico_de_gallo_chicken_quesadillas_recipe_-_All_recipes_UK,"In a clean, heavy frying pan, heat one flour tortilla.",Set aside.,1
1,Slow_cooked_chicken_korma_recipe_-_All_recipes_UK,Bring to the boil and then transfer to slow cooker pouring over chicken.,"Blend the onions, garlic, ginger and chilli in a blender or liquidiser, or chop very finely.",1
2,vodka-penne,Season finished sauce with salt and pepper.,Heat the olive oil in a large saucepan over medium heat.,1
3,dal-fritters,"These will absorb the oil in the pan, but that is fine.",Combine all the ingredients together.,1
4,cardiganshire-cawl,"Add potatoes, and simmer until tender, 15 to 20 minutes.",Simmer for 1 hour.,1
5,salted-pork-fried-rice,Add the peppers and celery and stir-fry until soft.,Heat the oil in a wok over high heat until hot.,1
6,cj-s-chicken-in-a-white-wine-and-cream-sauce,"Add a little salt to develop the flavour, and taste again!","When the chicken is just cooked, set aside.",1
7,pumpkin-crumble-sponge-cake,Sprinkle nuts evenly over the top.,"In a small bowl, combine reserved 125g sponge cake mix, 100g sugar and 50g softened butter.",1
8,mint-chocolate-brownies,"Allow to cool slightly, then spread over the top of the mint layer.","Beat in eggs one at a time, then stir in the chocolate sauce.",1
9,My_own_famous_dolmades_recipe_-_All_recipes_UK,"Remove from heat, remove cover and let cool for 1/2 hour.","Cover pot and simmer for about 1 hour (do not boil, because this will make the stuffing burst out of the leaves).",1
10,Vegetarian_mushroom_pie_recipe_-_All_recipes_UK,Bake in preheated oven for 40 minutes or until pastry is golden and puffy.,Pour in vegetable stock and stir.,1
11,pumpkin-crumble-sponge-cake,"In a small bowl, combine reserved 125g sponge cake mix, 100g sugar and 50g softened butter.",Reserve 125g sponge cake mix.,1
12,kahlua-bread-pudding,Set aside.,Sprinkle with pecans.,1
13,"Normandy_pork_casserole_with_apples,_celery_and_walnuts_recipe_-_All_recipes_UK","When the pork is tender, stir in the walnuts and taste for seasoning.","Slice the quarters thickly, then add to the pork and continue cooking.",1
14,Baked_lasagne_with_Bolognese_sauce_and_mushrooms_recipe_-_All_recipes_UK,Bake in a preheated oven at 220 C for 25-30 minutes.,"In a pot melt the butter, add the flour and then pour the milk stirring constantly to avoid lumps.",1
15,japanese-chicken-and-tofu-burgers,"Cook 3 minutes more, with a lid.","Cook for 5 minutes, flip them over.",1
16,Slow-braised_beef_and_barley_recipe_-_All_recipes_UK,Season with salt and pepper to taste.,"Pour over the wine, then cover and leave to marinate in the fridge for 8 hours or overnight.",1
17,mango-crumble,"Bake in preheated oven until the fruit is bubbling and the topping is crisp and lightly browned, about 45 minutes.",Butter a 20cm square cake tin.,1
18,pork-chops-with-normandy-sauce,"Add the thyme, cider, honey, brandy, salt and pepper; transfer to the casserole.","In the same pan, cook the onions and garlic until tender, about 5 minutes.",1
19,veggie-burgers,Spread with the tomato mixture and top with the shallot slices.,Shape the mixture into 4 thick burgers about 10 cm (4 in) in diameter.,1
20,Italian_style_pizza_recipe_-_All_recipes_UK,Next add 50 to 60g of grated mozzarella.,Defrost thoroughly before using.,1
21,Chocolate_cake_with_chocolate_buttercream_recipe_-_All_recipes_UK,Ice the outside of the cake.,Pour evenly into the two prepared tins.,1
22,Mum’s_apricot_Chelsea_buns_recipe_-_All_recipes_UK,Cover and leave to rise in a warm place for 15 to 20 minutes.,Arrange the slices in an 18cm cake tin.,1
23,Melt_in_the_middle_chocolate_pudding_cakes_recipe_-_All_recipes_UK,Bake for 15 minutes in the preheated oven.,"Butter 2 ramekins, about 75mm in diameter.",1
24,beef-rolls-with-mushroom-stuffing,"Heat the remaining oil in the frying pan, add the beef olives and fry them on a moderate heat to brown them all over.","Lightly brush the beef olives all over with a little olive oil, then roll them in the crushed peppercorns on a plate.",1
25,jade-s-cream-of-chicken-soup,Blend the soup to a desired consistency using a food processor or handheld liquidiser then return to the heat and bring to the boil.,"Gradually pour in the stock, stirring continuously to avoid any flour lumps.",1
26,pumpkin-in-ginger-sauce,"Add honey and mix, taking care not to break up the pumpkin pieces.",Place cut side up on a baking tray and drizzle with 1 tablespoon olive oil.,1
27,Moist_garlic_roasted_chicken_recipe_-_All_recipes_UK,Fold the paper over the chicken forming a loose parcel.,"Season the chicken with salt and pepper, stuff with half of the lemon slices and place breast side up in the middle of the paper.",1
28,Carrot_cake_recipe_-_All_recipes_UK,Pour into the prepared tin.,"Mix in flour, bicarbonate of soda, baking powder, salt and cinnamon.",1
29,date-and-lemon-scones,Press dough together gently and repeat using the remaining dough.,Cut scones from dough and place onto tray flat-side up.,1
30,kahlua-bread-pudding,Serve warm.,Bake for 45 to 50 minutes or until golden.,1
31,egg-and-bacon-breakfast-parcels,Seal by gently pressing down and tucking bread into sides.,Spoon one tablespoon of cr竪me fra樽che into each unit and divide the fried onion mixture between the six units.,1
32,Slow-braised_beef_and_barley_recipe_-_All_recipes_UK,"Cover again and braise for a further 1-1¼ hours or until the beef, barley and vegetables are tender.",Season with salt and pepper to taste.,1
33,coriander-chicken,Combine the garlic and ginger and rub over the chicken.,Remove and discard the skin from the chicken.,1
34,marinara-sauce,"Add onion and garlic and cook 2 to 4 minutes until crisp-tender, stirring frequently.",Heat olive oil in a saucepan over medium-high heat.,1
35,Perfect_apple_crumble_recipe_-_All_recipes_UK,Bake for approximately 30 minutes or until the crumble is golden brown and crunchy.,"Mix the flour, remaining sugar and the butter with your fingers in a bowl until it becomes like a breadcrumb consistency.",1
36,japanese-chicken-and-tofu-burgers,"Add the burgers to the heated frying pan, and put a lid on.",Mix them really well.,1
37,gingerbread-bear-biscuits,Cut into bear shapes with a cookie cutter and place onto an unprepared baking tray.,stir into the wet mixture.,1
38,cream-chicken,Cover with tin foil.,"Pour in the chicken stock, cream and gravy granules (or cornflour if using).",1
39,vanilla-custard,"Beat in the cornflour mixture with a whisk, bring to the boil again and remove from the heat.","Bring the remaining milk, whipped cream, vanilla seeds, scraped vanilla bean, sugar and salt to the boil in a pan.",1
40,"Best_big,_fat,_chewy_chocolate_chip_cookies_recipe_-_All_recipes_UK",Cookies should be about 8cm apart.,"In a medium bowl, cream together the melted butter, brown sugar and caster sugar until well blended.",1
41,warm-potato-salad-with-mackerel,Finely chop the cucumber flesh and add to the bowl.,"While the potatoes cook, remove the skin from the mackerel and discard.",1
42,beef-barley-and-mushroom-soup,Adjust liquid and seasoning as desired.,"Saute carrots, onion, garlic, celery and mushrooms.",1
43,peach-pudding,Place in the oven and cook for about 15 minutes or until golden brown.,Add caster sugar gradually whilst whisking until all combined.,1
44,Slow-braised_beef_and_barley_recipe_-_All_recipes_UK,Add the onions to the casserole and cook gently for 3-4 minutes or until lightly coloured all over.,"Leave for 2 minutes, then drain.",1
45,Italian_style_pizza_recipe_-_All_recipes_UK,I like to add peppers and Parma ham or smoked chorizo slices.,At this point you can also freeze the unrolled dough balls for future use.,1
46,quick-mince-hotpot,Remove from the oven and enjoy!,Sprinkle in the gravy granules then pour over the boiling water.,1
47,pete-s-pulled-pork--slow-cooker-style,I also added a good slosh of chilli sauce to mine.,Basically you can leave it in there for 8 to 10 hours if you want so you can do this on a work day in the morning and come home to yummy pulled pork.,1
48,Simple_no_fuss_bread_and_butter_pudding_recipe_-_All_recipes_UK,Pour over the bread and leave to absorb for 10 minutes.,Mix the milk and eggs together and whisk.,1
49,stuffing-stuffed-turkey-meatballs-with-cranberry-sauce,Enjoy and feel Christmasy!,Mix together turkey mince and OXO&reg; cube in bowl.,1
50,peach-pudding,Make meringue by whisking egg whites till nice and fluffy.,Measure the juice from the peach tin and add milk up to 400ml.,1
51,polenta-pizza-base,Add desired toppings.,"For a round pizza, break off about 1/4 of the dough.",1
52,Chocolate_cake_with_chocolate_buttercream_recipe_-_All_recipes_UK,Ice the outside of the cake.,Use the first set of ingredients to make the cake.,1
53,spiced-chocolate-courgette-cake,"Add eggs, soured milk and vanilla.","Cream together butter, vegetable oil and sugar.",1
54,indian-coconut--almond-and-poppy-seed-pudding---gasagage-payasa,"Serve hot, warm or cold, depending on your preference.",add the saffron and cardamom to the mixture.,1
55,"Normandy_pork_casserole_with_apples,_celery_and_walnuts_recipe_-_All_recipes_UK",Cook for 1 1/4 hours or until the pork is tender.,Pour in the cider or apple juice and add the bay leaf.,1
56,pasta-pesto,Serve with grated Parmesan cheese.,Stir in pesto and soured cream; allow to heat through and come to a simmer.,1
57,Slow-braised_beef_and_barley_recipe_-_All_recipes_UK,Season with salt and pepper to taste.,"Do this in batches, if necessary, so the pan is not overcrowded.",1
58,Italian_style_pizza_recipe_-_All_recipes_UK,"Cook in the oven until the cheese is melted and golden, 5 to 8 minutes.","When the bread maker is finished, tip the dough onto a well floured surface and divide it into 3 parts for 40cm pizzas or 4 for 30cm pizzas.",1
59,sweet-potato-and-bean-soup,Serve immediately.,Ladle into a blender or food processor and purée until smooth.,1
60,creamy-lemon-chicken,"Bring sauce to a boil, reduce heat to medium low.",Heat 2 tablespoons butter and 2 tablespoons of olive oil in a large skillet over medium high heat.,1
61,classic-arrabbiata-sauce,"Stir in wine, sugar, basil, crushed chillies, tomato puree, lemon juice, Italian herb seasoning, black pepper and tomatoes;",Saute onion and garlic in oil for 5 minutes.,1
62,Tri-colour_roasted_pepper_soup_recipe_-_All_recipes_UK,Place one garlic clove in each half and squeeze lemon juice generously over peppers.,Place peppers cut side up in shallow baking dish.,1
63,Bacon_and_cheese_pasta_bake_recipe_-_All_recipes_UK,Serve warm.,"In a medium frying pan, saute the chopped onion and garlic.",1
64,Mum’s_apricot_Chelsea_buns_recipe_-_All_recipes_UK,Roll up the dough like a Swiss roll.,"Turn the dough out into a bowl, cover and leave in a warm until the dough doubles in size, about 30 minutes.",1
